Date,Clics,Impressions,CTR,Position
2025-10-07,34,2124,1.6%,19.13
2025-10-06,35,2362,1.48%,19.99
2025-10-05,25,2272,1.1%,19.33
2025-10-04,25,2069,1.21%,19.6
2025-10-03,34,2111,1.61%,19.74
2025-10-02,40,2220,1.8%,19.76
2025-10-01,27,2322,1.16%,21.11
2025-09-30,31,2554,1.21%,19.16
2025-09-29,41,2652,1.55%,17.71
2025-09-28,27,2454,1.1%,17.08
2025-09-27,20,1989,1.01%,19.72
2025-09-26,17,2172,0.78%,18.66
2025-09-25,16,2161,0.74%,19.38
2025-09-24,35,2427,1.44%,21.62
2025-09-23,33,2344,1.41%,17.9
2025-09-22,36,2237,1.61%,19.77
2025-09-21,42,2565,1.64%,22.84
2025-09-20,23,1920,1.2%,17.82
2025-09-19,21,2093,1%,18.45
2025-09-18,25,2231,1.12%,20.34
2025-09-17,32,2279,1.4%,17.5
2025-09-16,41,2500,1.64%,17.02
2025-09-15,23,2597,0.89%,16.59
2025-09-14,30,2646,1.13%,15.07
2025-09-13,37,2013,1.84%,15.27
2025-09-12,24,2456,0.98%,20.24
2025-09-11,30,3103,0.97%,21.69
2025-09-10,23,2868,0.8%,23.39
2025-09-09,25,3212,0.78%,26.61
2025-09-08,41,3113,1.32%,26.34
2025-09-07,28,3282,0.85%,25.91
2025-09-06,15,2971,0.5%,28.96
2025-09-05,28,2827,0.99%,29.56
2025-09-04,26,3237,0.8%,29.29
2025-09-03,28,3160,0.89%,28.59
2025-09-02,28,3017,0.93%,27.78
2025-09-01,39,3402,1.15%,27.98
2025-08-31,25,4041,0.62%,29.54
2025-08-30,26,3325,0.78%,27.94
2025-08-29,30,3434,0.87%,28.74
2025-08-28,37,3605,1.03%,26.83
2025-08-27,37,3623,1.02%,24.76
2025-08-26,37,3109,1.19%,26.52
2025-08-25,29,3009,0.96%,26.11
2025-08-24,25,3322,0.75%,27.1
2025-08-23,23,2899,0.79%,28.15
2025-08-22,27,2911,0.93%,28.44
2025-08-21,36,3255,1.11%,28.1
2025-08-20,28,2858,0.98%,26.23
2025-08-19,34,3063,1.11%,27.29
2025-08-18,29,3279,0.88%,27.6
2025-08-17,35,3376,1.04%,25.96
2025-08-16,33,3444,0.96%,26.89
2025-08-15,17,2779,0.61%,26.98
2025-08-14,31,3016,1.03%,27.76
2025-08-13,27,3036,0.89%,27.39
2025-08-12,38,3305,1.15%,27.73
2025-08-11,21,4390,0.48%,32.74
2025-08-10,33,3250,1.02%,27.38
2025-08-09,22,2991,0.74%,28.25
2025-08-08,29,3324,0.87%,27.51
2025-08-07,27,2994,0.9%,28.21
2025-08-06,27,2920,0.92%,27.75
2025-08-05,30,2988,1%,27.11
2025-08-04,42,2837,1.48%,27.32
2025-08-03,26,3142,0.83%,26.97
2025-08-02,31,2766,1.12%,28.2
2025-08-01,28,3166,0.88%,30.08
2025-07-31,32,3516,0.91%,30.57
2025-07-30,26,3000,0.87%,27.53
2025-07-29,32,2989,1.07%,25.54
2025-07-28,37,3311,1.12%,26.39
2025-07-27,38,3380,1.12%,26.96
2025-07-26,23,2994,0.77%,27.12
2025-07-25,29,3263,0.89%,27.43
2025-07-24,31,3232,0.96%,26.09
2025-07-23,36,3522,1.02%,24.96
2025-07-22,32,3566,0.9%,26.22
2025-07-21,48,3702,1.3%,26.05
2025-07-20,34,5113,0.66%,29.84
2025-07-19,24,4377,0.55%,31.83
2025-07-18,25,3395,0.74%,29.42
2025-07-17,39,3141,1.24%,27.85
2025-07-16,35,3076,1.14%,26.96
2025-07-15,40,3394,1.18%,27.23
2025-07-14,22,3321,0.66%,26.39
2025-07-13,38,3280,1.16%,27.72
2025-07-12,23,3561,0.65%,30.77
2025-07-11,21,3947,0.53%,32.4
2025-07-10,39,3093,1.26%,28.08
2025-07-09,33,3122,1.06%,27.71
