Jour,Heure de début,Impressions,Impressions (Comparaison)
Dimanche,00 h,1 178,0
Dimanche,01 h,448,0
Dimanche,02 h,277,0
Dimanche,03 h,237,0
Dimanche,04 h,235,0
Dimanche,05 h,399,0
Dimanche,06 h,1 090,5 698
Dimanche,07 h,6 601,34 324
Dimanche,08 h,9 953,52 683
Dimanche,09 h,11 543,55 051
Dimanche,10 h,10 494,53 301
Dimanche,11 h,10 128,43 120
Dimanche,12 h,9 549,36 242
Dimanche,13 h,10 378,36 674
Dimanche,14 h,10 726,39 985
Dimanche,15 h,11 181,42 450
Dimanche,16 h,10 384,41 827
Dimanche,17 h,10 365,50 922
Dimanche,18 h,9 599,66 215
Dimanche,19 h,7 273,68 757
Dimanche,20 h,6 163,68 490
Dimanche,21 h,4 799,55 196
Dimanche,22 h,2 435,37 983
Dimanche,23 h,1 144,11 194
Lundi,00 h,650,0
Lundi,01 h,287,0
Lundi,02 h,167,0
Lundi,03 h,133,0
Lundi,04 h,155,0
Lundi,05 h,299,0
Lundi,06 h,1 174,543
Lundi,07 h,5 315,10 572
Lundi,08 h,7 332,15 812
Lundi,09 h,8 694,17 369
Lundi,10 h,9 839,20 012
Lundi,11 h,9 452,21 475
Lundi,12 h,8 798,22 859
Lundi,13 h,10 133,29 404
Lundi,14 h,10 365,27 382
Lundi,15 h,9 501,26 859
Lundi,16 h,9 524,27 348
Lundi,17 h,10 395,28 351
Lundi,18 h,10 192,34 231
Lundi,19 h,8 068,37 593
Lundi,20 h,7 240,66 485
Lundi,21 h,7 017,86 240
Lundi,22 h,5 440,51 182
Lundi,23 h,3 139,18 442
Mardi,00 h,729,0
Mardi,01 h,423,0
Mardi,02 h,284,0
Mardi,03 h,246,0
Mardi,04 h,276,0
Mardi,05 h,470,0
Mardi,06 h,1 696,1 478
Mardi,07 h,8 727,13 843
Mardi,08 h,8 722,18 342
Mardi,09 h,8 802,19 612
Mardi,10 h,8 420,21 753
Mardi,11 h,8 106,24 528
Mardi,12 h,7 395,22 726
Mardi,13 h,7 840,28 552
Mardi,14 h,8 092,27 127
Mardi,15 h,8 238,29 414
Mardi,16 h,8 038,27 361
Mardi,17 h,8 483,29 592
Mardi,18 h,8 170,35 229
Mardi,19 h,7 565,32 718
Mardi,20 h,7 514,40 357
Mardi,21 h,7 517,47 365
Mardi,22 h,5 260,93 453
Mardi,23 h,2 463,55 081
Mercredi,00 h,669,0
Mercredi,01 h,329,0
Mercredi,02 h,262,0
Mercredi,03 h,279,0
Mercredi,04 h,409,0
Mercredi,05 h,830,0
Mercredi,06 h,2 546,581
Mercredi,07 h,7 587,12 476
Mercredi,08 h,9 955,17 545
