Semaine,Semaine(Comparaison),Clics,Clics(Comparaison),Coût,Coût(Comparaison),Conversions,Conversions(Comparaison),Coût/conv.,Coût/conv.(Comparaison)
Semaine du 30 déc. 2024,Semaine du 1 janv. 2024,514,1 845,"657,33 €","1 238,40 €","1,00","11,00","657,33 €","112,58 €"
Semaine du 6 janv. 2025,Semaine du 8 janv. 2024,830,1 630,"831,82 €","1 342,49 €","2,00","14,01","415,91 €","95,85 €"
Semaine du 13 janv. 2025,Semaine du 15 janv. 2024,1 366,1 412,"893,60 €","1 277,07 €","5,00","13,00","178,72 €","98,24 €"
Semaine du 20 janv. 2025,Semaine du 22 janv. 2024,1 456,1 465,"1 020,71 €","1 182,30 €","1,00","15,99","1 020,71 €","73,92 €"
Semaine du 27 janv. 2025,Semaine du 29 janv. 2024,1 842,1 296,"1 036,98 €","1 227,47 €","8,60","17,00","120,59 €","72,20 €"
Semaine du 3 févr. 2025,Semaine du 5 févr. 2024,1 971,1 298,"1 212,42 €","1 261,20 €","4,00","25,00","303,11 €","50,45 €"
Semaine du 10 févr. 2025,Semaine du 12 févr. 2024,1 446,1 159,"1 380,71 €","1 283,16 €","6,00","20,00","230,12 €","64,16 €"
Semaine du 17 févr. 2025,Semaine du 19 févr. 2024,1 207,1 061,"1 361,62 €","1 199,03 €","6,00","27,00","226,94 €","44,41 €"
Semaine du 24 févr. 2025,Semaine du 26 févr. 2024,1 101,1 369,"1 179,66 €","1 146,77 €","10,00","18,00","117,97 €","63,71 €"
Semaine du 3 mars 2025,Semaine du 4 mars 2024,1 141,1 208,"1 155,64 €","1 166,23 €","8,00","23,00","144,45 €","50,71 €"
Semaine du 10 mars 2025,Semaine du 11 mars 2024,1 136,932,"1 142,93 €","1 204,64 €","5,00","12,00","228,59 €","100,39 €"
Semaine du 17 mars 2025,Semaine du 18 mars 2024,1 118,824,"1 117,09 €","1 125,63 €","6,00","15,00","186,18 €","75,04 €"
Semaine du 24 mars 2025,Semaine du 25 mars 2024,860,722,"917,18 €","1 024,97 €","10,00","11,00","91,72 €","93,18 €"
Semaine du 31 mars 2025,Semaine du 1 avr. 2024,960,1 153,"1 033,05 €","1 294,56 €","7,00","11,00","147,58 €","117,69 €"
Semaine du 7 avr. 2025,Semaine du 8 avr. 2024,1 126,1 802,"1 120,78 €","1 264,17 €","7,00","214,00","160,11 €","5,91 €"
Semaine du 14 avr. 2025,Semaine du 15 avr. 2024,829,1 937,"1 115,24 €","1 679,18 €","9,00","327,01","123,92 €","5,13 €"
Semaine du 21 avr. 2025,Semaine du 22 avr. 2024,769,2 061,"1 179,44 €","1 834,90 €","13,33","331,00","88,46 €","5,54 €"
Semaine du 28 avr. 2025,Semaine du 29 avr. 2024,782,2 112,"1 108,15 €","1 540,44 €","5,33","290,00","207,78 €","5,31 €"
Semaine du 5 mai 2025,Semaine du 6 mai 2024,980,2 223,"1 269,62 €","1 885,67 €","11,00","104,00","115,42 €","18,13 €"
Semaine du 12 mai 2025,Semaine du 13 mai 2024,1 105,1 816,"1 300,00 €","1 609,80 €","7,00","52,99","185,71 €","30,38 €"
Semaine du 19 mai 2025,Semaine du 20 mai 2024,1 320,1 403,"1 376,64 €","1 655,81 €","8,00","65,00","172,08 €","25,47 €"
Semaine du 26 mai 2025,Semaine du 27 mai 2024,698,904,"1 452,59 €","1 594,61 €","11,50","6,33","126,31 €","251,78 €"
Semaine du 2 juin 2025,Semaine du 3 juin 2024,772,886,"1 498,72 €","1 888,28 €","11,33","8,00","132,24 €","236,03 €"
Semaine du 9 juin 2025,Semaine du 10 juin 2024,693,864,"1 436,69 €","1 845,22 €","10,67","6,67","134,69 €","276,78 €"
Semaine du 16 juin 2025,Semaine du 17 juin 2024,722,880,"1 378,88 €","1 743,99 €","8,50","4,00","162,22 €","436,00 €"
Semaine du 23 juin 2025,Semaine du 24 juin 2024,737,616,"1 254,17 €","1 457,10 €","16,33","11,00","76,79 €","132,46 €"
Semaine du 30 juin 2025,Semaine du 1 juil. 2024,772,573,"1 258,18 €","1 322,35 €","10,78","8,35","116,68 €","158,38 €"
Semaine du 7 juil. 2025,Semaine du 8 juil. 2024,1 169,662,"1 430,31 €","1 168,99 €","8,25","10,65","173,37 €","109,76 €"
Semaine du 14 juil. 2025,Semaine du 15 juil. 2024,922,736,"978,87 €","1 197,70 €","8,00","9,00","122,36 €","133,08 €"
Semaine du 21 juil. 2025,Semaine du 22 juil. 2024,1 157,725,"512,41 €","1 141,54 €","11,00","7,00","46,58 €","163,08 €"
Semaine du 28 juil. 2025,Semaine du 29 juil. 2024,1 143,680,"525,87 €","1 105,69 €","7,97","7,00","66,01 €","157,96 €"
Semaine du 4 août 2025,Semaine du 5 août 2024,1 172,744,"514,89 €","1 275,48 €","6,00","9,00","85,81 €","141,72 €"
Semaine du 11 août 2025,Semaine du 12 août 2024,1 228,778,"485,82 €","1 133,52 €","10,00","5,00","48,58 €","226,70 €"
Semaine du 18 août 2025,Semaine du 19 août 2024,1 256,819,"475,78 €","1 264,75 €","5,00","19,00","95,16 €","66,57 €"
Semaine du 25 août 2025,Semaine du 26 août 2024,1 197,684,"389,18 €","1 053,35 €","8,00","13,00","48,65 €","81,03 €"
Semaine du 1 sept. 2025,Semaine du 2 sept. 2024,889,695,"335,09 €","1 291,04 €","10,00","15,00","33,51 €","86,07 €"
Semaine du 8 sept. 2025,Semaine du 9 sept. 2024,1 680,605,"519,84 €","1 208,91 €","11,47","15,00","45,31 €","80,59 €"
Semaine du 15 sept. 2025,Semaine du 16 sept. 2024,1 045,724,"435,13 €","1 129,49 €","5,53","18,00","78,74 €","62,75 €"
Semaine du 22 sept. 2025,Semaine du 23 sept. 2024,1 035,357,"442,44 €","713,68 €","6,00","11,00","73,74 €","64,88 €"
Semaine du 29 sept. 2025,Semaine du 30 sept. 2024,1 327,529,"403,20 €","799,02 €","5,00","4,00","80,64 €","199,75 €"
Semaine du 6 oct. 2025,Semaine du 7 oct. 2024,815,239,"359,39 €","386,98 €","8,00","6,00","44,92 €","64,50 €"
